tokens per iteration will be: 16,384
Initializing a new model from scratch
compiling the model... (takes a ~minute)
iter 1470: loss 4.3811, time 561.20ms
iter 1480: loss 4.3524, time 560.71ms
iter 1490: loss 4.6048, time 561.86ms
iter 1500: loss 4.5952, time 38608.59ms
iter 1510: loss 4.5035, time 561.71ms
iter 1520: loss 4.5876, time 561.24ms
iter 1530: loss 4.6393, time 561.38ms
iter 1540: loss 4.3767, time 561.31ms
iter 1550: loss 4.3486, time 561.60ms
iter 1560: loss 4.4629, time 561.22ms
iter 1570: loss 4.4471, time 560.72ms
iter 1580: loss 4.6139, time 561.76ms
iter 1590: loss 4.4451, time 561.51ms
iter 1600: loss 4.6216, time 560.91ms
iter 1610: loss 4.5174, time 561.18ms
iter 1620: loss 4.0634, time 560.94ms
iter 1630: loss 4.4663, time 561.28ms
iter 1640: loss 4.2353, time 561.33ms
iter 1650: loss 4.3111, time 561.33ms
iter 1660: loss 4.3234, time 561.66ms
iter 1670: loss 4.2623, time 561.84ms
iter 1680: loss 4.5718, time 561.26ms
iter 1690: loss 4.3655, time 561.28ms
iter 1700: loss 4.6376, time 561.24ms
iter 1710: loss 4.4474, time 561.14ms
iter 1720: loss 4.2742, time 561.02ms
iter 1730: loss 4.3588, time 561.15ms
iter 1740: loss 4.5191, time 561.43ms
iter 1750: loss 4.4572, time 37142.09ms
iter 1760: loss 4.4266, time 560.86ms
iter 1770: loss 4.3291, time 561.24ms
iter 1780: loss 4.3499, time 561.25ms
iter 1790: loss 4.1742, time 561.67ms
iter 1800: loss 4.3657, time 561.89ms
iter 1810: loss 4.2894, time 561.43ms
iter 1820: loss 4.3152, time 561.38ms
iter 1830: loss 4.3387, time 561.19ms
iter 1840: loss 4.3736, time 561.10ms
iter 1850: loss 4.2664, time 561.75ms
iter 1860: loss 4.3631, time 561.76ms
iter 1870: loss 4.5874, time 560.92ms
iter 1880: loss 4.2559, time 561.62ms
iter 1890: loss 4.3424, time 561.35ms
iter 1900: loss 4.4936, time 561.34ms
iter 1910: loss 4.2466, time 560.76ms
iter 1920: loss 4.1672, time 561.58ms
iter 1930: loss 4.0846, time 561.74ms
iter 1940: loss 4.3154, time 561.21ms
iter 1950: loss 4.2488, time 561.37ms
iter 1960: loss 4.1168, time 560.77ms
iter 1970: loss 4.3126, time 561.23ms
iter 1980: loss 4.2535, time 561.77ms
iter 1990: loss 4.2656, time 561.71ms
iter 2000: loss 4.0933, time 37251.28ms
iter 2010: loss 4.3195, time 561.46ms
iter 2020: loss 4.4212, time 561.75ms
iter 2030: loss 4.3020, time 561.60ms
iter 2040: loss 4.2557, time 561.27ms
iter 2050: loss 4.1061, time 561.17ms
iter 2060: loss 4.1602, time 562.05ms
iter 2070: loss 4.0221, time 561.46ms
iter 2080: loss 4.2098, time 561.45ms
iter 2090: loss 4.2554, time 561.63ms
iter 2100: loss 4.3177, time 560.83ms
iter 2110: loss 4.1977, time 561.26ms
iter 2120: loss 4.2772, time 561.49ms
iter 2130: loss 3.9980, time 561.69ms
iter 2140: loss 4.2543, time 561.84ms
iter 2150: loss 4.3749, time 561.24ms
iter 2160: loss 4.4520, time 561.71ms
iter 2170: loss 4.2450, time 561.48ms
iter 2180: loss 4.3935, time 561.33ms
iter 2190: loss 4.0587, time 561.72ms
iter 2200: loss 4.2375, time 561.29ms
iter 2210: loss 4.3727, time 561.43ms
iter 2220: loss 4.1272, time 561.60ms
iter 2230: loss 4.1343, time 561.73ms
iter 2240: loss 4.4450, time 561.19ms
iter 2250: loss 4.1611, time 37040.07ms
iter 2260: loss 4.0243, time 561.44ms
iter 2270: loss 4.1753, time 561.54ms
iter 2280: loss 4.2010, time 560.98ms
iter 2290: loss 4.1586, time 561.44ms
iter 2300: loss 4.1644, time 561.05ms
iter 2310: loss 4.2940, time 561.49ms
iter 2320: loss 4.2231, time 561.19ms
iter 2330: loss 4.2474, time 561.26ms
iter 2340: loss 4.0640, time 561.63ms
iter 2350: loss 4.1955, time 561.47ms
iter 2360: loss 3.9083, time 561.28ms
